tempo,num_instruments,avg_pitch,std_pitch,avg_velocity,std_velocity,num_chords,unique_pitches,filename,composer
92.00012880018032,4,60.94407894736842,7.637420758903639,96.0,0.0,102,25,003706b_.mid,Bach
96.0,4,60.99209486166008,8.180984579460974,96.0,0.0,78,27,003806b_.mid,Bach
96.0,4,59.18245614035088,8.018137950899453,96.0,0.0,93,26,003907bv.mid,Bach
96.0,4,62.18245614035088,8.018137950899453,96.0,0.0,93,26,003907b_.mid,Bach
96.0,4,61.220588235294116,7.988006258588565,96.0,0.0,68,27,004003b_.mid,Bach
96.0,4,62.928,7.963950907446938,96.0,0.0,82,31,004006b_.mid,Bach
80.0,4,60.71787709497207,8.867923751991023,96.0,0.0,125,31,004008b_.mid,Bach
100.0,4,62.66543438077634,8.183366556044863,96.0,0.0,182,31,004106bs.mid,Bach
100.0,8,63.93527508090615,9.3367591711202,96.0,0.0,277,33,004106b_.mid,Bach
96.0,5,58.64106844741235,8.383954028030958,64.0,0.0,169,29,004207b_.mid,Bach
112.00005973336519,4,61.32950191570881,8.193727158684126,96.0,0.0,68,26,004311b_.mid,Bach
104.0000138666685,4,62.56730769230769,7.765605355211363,96.0,0.0,64,23,004407b_.mid,Bach
96.0,5,59.98316498316498,8.094650349049319,96.0,0.0,79,25,004507b_.mid,Bach
106.00013780017913,4,61.42677824267783,7.5494082964883855,96.0,0.0,70,28,004606bs.mid,Bach
88.00002346667293,8,69.33607520564043,11.0701444005241,96.0,0.0,216,44,004606b_.mid,Bach
96.0,4,61.70967741935484,8.051295877111004,96.0,0.0,58,29,004705b_.mid,Bach
96.0,4,61.10191082802548,7.468896799545017,96.0,0.0,55,29,004803b_.mid,Bach
96.0,4,60.32142857142857,7.337015553685507,96.0,0.0,93,26,004807b_.mid,Bach
100.0,6,61.8359133126935,7.347688064492333,96.0,0.0,72,24,005206b_.mid,Bach
96.0,4,63.0863309352518,8.707009512353208,96.0,0.0,95,23,005505b_.mid,Bach
96.0,5,57.60339943342776,8.210732292229407,96.0,0.0,93,32,005605b_.mid,Bach
96.0,4,63.051643192488264,8.024265065060602,96.0,0.0,70,23,005708b_.mid,Bach
104.0000138666685,7,62.10469798657718,7.652555406094275,96.0,0.0,156,31,005903b_.mid,Bach
88.00002346667293,4,63.89007092198582,7.512644666706299,96.0,0.0,92,29,006005b_.mid,Bach
71.00003550001774,6,63.811252268602544,10.589048393671527,96.0,0.0,203,36,006106b_.mid,Bach
